月,チャネル,表示回数,クリック数,獲得数,費用
2026-01,展示会,1855,149,22,4363
2026-01,Web広告,14854,532,26,39715
2026-01,メルマガ,7258,294,16,1578
2026-01,紹介,915,185,43,0
2026-01,テレアポ,1732,205,22,38785
2026-02,展示会,1770,149,22,4244
2026-02,Web広告,11098,284,13,21476
2026-02,メルマガ,6309,377,15,1906
2026-02,紹介,844,189,43,0
2026-02,テレアポ,1325,174,18,32271
2026-03,展示会,1993,184,15,5297
2026-03,Web広告,12930,362,12,28728
2026-03,メルマガ,5344,270,18,1370
2026-03,紹介,677,154,30,0
2026-03,テレアポ,1470,196,14,36743
2026-04,展示会,2097,136,13,4262
2026-04,Web広告,14624,365,17,30937
2026-04,メルマガ,7409,399,26,2005
2026-04,紹介,901,210,39,0
2026-04,テレアポ,1254,177,15,36641
2026-05,展示会,2441,233,22,7408
2026-05,Web広告,14924,366,16,28429
2026-05,メルマガ,6745,339,17,1571
2026-05,紹介,686,115,31,0
2026-05,テレアポ,1362,175,17,35274
2026-06,展示会,2534,193,27,5298
2026-06,Web広告,14038,503,24,40881
2026-06,メルマガ,6680,314,20,1654
2026-06,紹介,1039,207,38,0
2026-06,テレアポ,1289,138,11,28875
